"category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","padj","definition"
"GO:0051769",1.25183693759912e-05,0.999998640016474,14,19,"regulation of nitric-oxide synthase biosynthetic process","BP",0.000155306020070891,"Any process that modulates the frequency, rate or extent of the chemical reactions and pathways resulting in the formation of a nitric-oxide synthase enzyme."
"GO:0050870",1.29347454068643e-05,0.999993248998702,91,246,"positive regulation of T cell activation","BP",0.000158817337933767,"Any process that activates or increases the frequency, rate or extent of T cell activation."
"GO:0045621",1.45381818207396e-05,0.999993627734678,55,130,"positive regulation of lymphocyte differentiation","BP",0.000176683413760213,"Any process that activates or increases the frequency, rate or extent of lymphocyte differentiation."
"GO:0071356",1.54883682530334e-05,0.999992206098415,74,192,"cellular response to tumor necrosis factor","BP",0.000186329763528917,"Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a tumor necrosis factor stimulus."
"GO:0010720",1.62742449107733e-05,0.999990130874833,148,427,"positive regulation of cell development","BP",0.00019382625688731,"Any process that increases the rate, frequency or extent of the progression of the cell over time, from its formation to the mature structure. Cell development does not include the steps involved in committing a cell to a specific fate."
"GO:0051716",1.76647444511961e-05,0.999985039988829,1743,6504,"cellular response to stimulus","BP",0.000208304065756184,"Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus. The process begins with detection of the stimulus by a cell and ends with a change in state or activity or the cell."
"GO:0042127",1.78955959541607e-05,0.999986448754881,447,1512,"regulation of cell population proliferation","BP",0.0002089573998177,"Any process that modulates the frequency, rate or extent of cell proliferation."
"GO:0005576",2.31661943429804e-05,0.999980863512037,976,3578,"extracellular region","CC",0.000267873179247472,"The space external to the outermost structure of a cell. For cells without external protective or external encapsulating structures this refers to space outside of the plasma membrane. This term covers the host cell environment outside an intracellular parasite."
"GO:0022409",2.47401521159797e-05,0.999985779285375,112,318,"positive regulation of cell-cell adhesion","BP",0.000283322318943575,"Any process that activates or increases the rate or extent of cell adhesion to another cell."
"GO:0035966",2.65103806385578e-05,0.999987430182601,61,152,"response to topologically incorrect protein","BP",0.000300703460385927,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a protein that is not folded in its correct three-dimensional structure."
"GO:0023056",2.67748176306999e-05,0.999979274402981,482,1638,"positive regulation of signaling","BP",0.000300837809416637,"Any process that activates, maintains or increases the frequency, rate or extent of a signaling process."
"GO:0002831",2.7329713423843e-05,0.999982296853688,170,518,"regulation of response to biotic stimulus","BP",0.000304202698016794,"Any process that modulates the frequency, rate, or extent of a response to biotic stimulus."
"GO:0010647",2.81554909657047e-05,0.99997824509213,481,1635,"positive regulation of cell communication","BP",0.000310492497594021,"Any process that increases the frequency, rate or extent of cell communication. Cell communication is the process that mediates interactions between a cell and its surroundings. Encompasses interactions such as signaling or attachment between one cell and another cell, between a cell and an extracellular matrix, or between a cell and any other aspect of its environment."
"GO:0030183",3.34035987705647e-05,0.999984883967412,54,130,"B cell differentiation","BP",0.000364987946199473,"The process in which a precursor cell type acquires the specialized features of a B cell. A B cell is a lymphocyte of B lineage with the phenotype CD19-positive and capable of B cell mediated immunity."
"GO:0045582",3.43244725976334e-05,0.999985170640301,49,115,"positive regulation of T cell differentiation","BP",0.000369567249436174,"Any process that activates or increases the frequency, rate or extent of T cell differentiation."
"GO:1903706",3.44432952875024e-05,0.999978913916855,133,390,"regulation of hemopoiesis","BP",0.000369567249436174,NA
"GO:0032784",3.84966253995762e-05,0.999984366835485,43,98,"regulation of DNA-templated transcription elongation","BP",0.000409370364740136,"Any process that modulates the frequency, rate or extent of transcription elongation, the extension of an RNA molecule after transcription initiation and promoter clearance by the addition of ribonucleotides catalyzed by a DNA-dependent RNA polymerase."
"GO:0051128",4.10998397450804e-05,0.999966798363368,676,2345,"regulation of cellular component organization","BP",0.000433185036605228,"Any process that modulates the frequency, rate or extent of a process involved in the formation, arrangement of constituent parts, or disassembly of cell structures, including the plasma membrane and any external encapsulating structures such as the cell wall and cell envelope."
"GO:0006986",4.20560477843356e-05,0.999980521536631,55,136,"response to unfolded protein","BP",0.000439375025536349,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an unfolded protein stimulus."
"GO:0032991",4.358910134177e-05,0.999962877155596,1455,5416,"protein-containing complex","CC",0.000451431475635201,"A stable assembly of two or more macromolecules, i.e. proteins, nucleic acids, carbohydrates or lipids, in which at least one component is a protein and the constituent parts function together."
"GO:1902107",4.59390457151911e-05,0.999976533156993,69,179,"positive regulation of leukocyte differentiation","BP",0.000467635926895664,NA
"GO:1903708",4.59390457151911e-05,0.999976533156993,69,179,"positive regulation of hemopoiesis","BP",0.000467635926895664,NA
"GO:0046637",4.69761326618626e-05,0.999982871661371,35,76,"regulation of alpha-beta T cell differentiation","BP",0.000474140457629477,"Any process that modulates the frequency, rate or extent of alpha-beta T cell differentiation."
"GO:0031347",4.88092184423133e-05,0.999965602802575,234,754,"regulation of defense response","BP",0.000484952036019691,"Any process that modulates the frequency, rate or extent of a defense response."
"GO:1900101",4.88616660977019e-05,0.999990075666124,18,30,"regulation of endoplasmic reticulum unfolded protein response","BP",0.000484952036019691,NA
"GO:0031349",5.12845693852046e-05,0.999966776826405,154,470,"positive regulation of defense response","BP",0.00050479274494032,"Any process that activates or increases the frequency, rate or extent of a defense response."
"GO:0032944",5.389576486229e-05,0.999970763488164,81,223,"regulation of mononuclear cell proliferation","BP",0.000521883786152619,"Any process that modulates the frequency, rate or extent of mononuclear cell proliferation."
"GO:0002221",5.39167879234362e-05,0.9999695043593,92,254,"pattern recognition receptor signaling pathway","BP",0.000521883786152619,"The series of molecular signals initiated by a ligand binding to a pattern recognition receptor (PRR), and ending with the regulation of a downstream cellular process, e.g. transcription. PRRs bind pathogen-associated molecular pattern (PAMPs), structures conserved among microbial species, or damage-associated molecular pattern (DAMPs), endogenous molecules released from damaged cells."
"GO:0043067",5.43876832281322e-05,0.999958199114717,408,1387,"regulation of programmed cell death","BP",0.000521883786152619,"Any process that modulates the frequency, rate or extent of programmed cell death, cell death resulting from activation of endogenous cellular processes."
"GO:0140546",5.50319006375664e-05,0.999959341667996,304,1027,"defense response to symbiont","BP",0.000521883786152619,NA
